ids,annotation,time,gold_annotation,tweet,saliency_scores
1270254814442610688,4,4.431,4,Say No to Virus for two Hrs with 10 ml for 30 Seconds: A Mouthwash That Can Help Prevent Covid-19 Spread - http://www.atscorp.tech/say-no-to-virus-for-two-hrs-with-10-ml-for-30-seconds-a-mouthwash-that-can-help-prevent-covid-19-spread/,0 0 0 0.1 0 0 0 0 0 0 0 0 0.12 0 0.13 0 0 0.11 0.12 0 0 0 0
1274246234593583106,4,3.682,5,What a shame for country.Entire world is suffering from deadly coronavirus and one of our scientist has developed and established a mouthwash which can prevent spread but she is still waiting for enough support to conduct human trials when every day counts for world/huminity https://twitter.com/rameshmaheshwa9/status/1272158284842074112,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0.1 0.07 0 0.14 0.13 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1469318604541861888,4,4.514,1,"""Standard gargle, mouthwash , has been proven to kill the coronavirus, Johnson said"" Misinformation/Lie: Because https://t.co/B5SFcN7rCa",0 0.12 0.08 0 0 0.03 0.07 0 0.02 0 0 0 0 0 0 0
1469185541820547073,4,4.449,5,Ron Johnson Admits That Using Mouthwash Can PreventCovid https://t.co/7qwGvRcSGT,0 0 0 0 0.02 0.04 0.06 0.18 0
1261223512460722179,4,2.933,5,"Mouthwash could prevent COVID-19 transmission, scientists say https://mol.im/a/8315269",0.21 0.1 0.09 0 0.11 0.04 0 0
1321423600964882432,4,2.398,5,"Mouthwash can help prevent spread of #coronavirus, say doctors in #Spain https://t.co/ruJYG4Apmd @olivepress",0.22 0.09 0.08 0.19 0.07 0 0 0 0 0 0 0 0
1320354521416171521,4,3.398,5,Mouthwash May Prevent the Spread of COVID-19 Research has shown that both mouthwash and baby shampoo render 99.9% o https://t.co/31VfeUw1n2,0.16 0 0.16 0 0.11 0 0 0 0 0.06 0 0 0.1 0 0 0 0 0 0 0
1328996211387490304,3,8.949,4,@saltyreign not a miracle. covid in the lab can be eliminated in 30 seconds using mouthwash but it hasn't been test https://t.co/lcAfGDco4W,0 0 0 0 0 0 0 0 0.05 0.05 0.08 0 0 0.06 0 0.07 0 0 0 0 0 0
1482043261258633216,2,6.748,2,"Wake and Bake folks, who knew?#Scientists: #Cannabis Can Prevent #COVID-19 Infection https://t.co/lX2Rq4jTgK via @motherboard",0 0 0 0 0 0.12 0.35 0.11 0.16 0 0 0.11 0 0
1292425255169007617,4,9.335,4,Scientists believe cannabis could help prevent and treat coronavirus https://nypost.com/2020/05/21/scientists-believe-cannabis-could-help-prevent-treat-coronavirus/ #coronavirus,0 0 0.11 0 0.04 0.07 0.05 0 0 0.15 0
1263637320294678529,2,7.081,1,@RealDonaldTrump *Scientists believe Cannabis could help prevent and treat Coronavirus. Is This True? https://nypost.com/2020/05/21/scientists-believe-cannabis-could-help-prevent-treat-coronavirus/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons via @nypost,0 0.03 0 0.1 0 0 0.02 0 0 0.04 0 0 0 0.22 0 0
1457835243369598976,2,6.665,4,Cannabis has so many applications against covid 19. Its not a cure but definatly a huge tool that CAN make a difference.,0.07 0.11 0 0 0.08 0.15 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.14
1481455160652177412,2,4.214,4,"Could cannabis prevent COVID? To the authors of a new study, it sure looks like it - Salon https://t.co/n56Gqy37Ta",0.15 0.17 0.09 0 0 0 0 0 0 0 0.09 0 0 0 0 0 0 0 0.05
NA82,4,6.566,5,"Scientists believe cannabis could help prevent and treat coronavirus. Cannabis could reduce the virus entry points by up to 70 percent. Therefore, you have more chance to fight it, via @nypost",0.09 0 0.14 0 0 0.1 0 0 0 0 0 0 0 0.08 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1247105295085637634,4,4.765,2,"@BorisJohnson Hydrochloroquine+Azithomycin =IHU (Marseille) = CURE = 2019-nCoV; SARS-CoV-2; COVID-19; hydroxychloroquine; azithomycin;clinical trial. Cholera medecine *QuineQuina MIGHT effect or reduce Coronavirus. Nivaquine/Chloroquine&Beer, Pharmacy at Marseille). pic.twitter.com/9aLsPpWdxY",0.11 0.14 0 0.08 0 0.05 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0
1262095860701319168,5,3.786,5,No Second Wave as per Dr Raoult ! A lot of bullshit about covid19 which can cure by using hydroxychloroquine azythromicine pic.twitter.com/fPIVSs34v8,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.09 0.13 0.14 0.16 0.14 0 0
1244389905523855360,4,7.91,2,"Did this esteemed French Prof find the antidote?? Coronavirus cure: French researchers completed new additional study on 80 patients, results show a combination of Hydroxychloroquine and Azithromycin to be effective in treating COVID-19 https://techstartups.com/2020/03/27/coronavirus-cure-new-results-french-study-shows-combination-hydroxychloroquine-plaquenil-azithromycin-successfully-treated-80-coronavirus-patients-significant-dr/ #vivelafrance",0 0 0 0 0 0 0 0 0 0 0 0 0 0.03 0 0 0 0 0 0 0 0 0.05 0 0 0 0.05 0 0 0.08 0 0.03 0 0 0
1261259146009206787,5,3.108,5,#HydroxychloroquineAndAzithromycin IS THE CURE to the #Covid19 https://twitter.com/IngrahamAngle/status/1261258652834574338,0.55 0 0.0 0.1 0 0 0.02 0.14
1283061984259444736,5,1.87,5,"Hydroxychloroquine + Azithromycin is a cure for #COVID19. You keep pushing your anti-Hydroxychloroquine agenda. On July 9, you ""republished"" main conclusions of the retracted Mehra et al. The same fake claims were based on another fraudulent paper. https://defyccc.com/the-lancet-doubles-down-on-anti-hcq-fraud/pic.twitter.com/7mngIHz0E3",0.09 0.11 0 0 0 0.12 0.09 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1248683999968612367,5,2.88,4,"Simple, provide access to quick test for Covid 19 & Hydroxychloroquine Azithromycin and zinc sulfate to cure!",0.11 0 0.13 0 0 0 0 0 0.12 0 0.15 0 0 0 0 0 0.13
1260787026850451458,5,4.35,5,People around the world are opening you here talk about closing. #COVID19 has a cure.... hydroxychloroquine and azithromycin . These drugs are very cheap. Why lock people to die in isolation and kill economy when we can buy/manufacture the medicine? Very arrogant of oue leaders,0 0 0 0 0 0 0 0 0 0 0 0.08 0 0 0.28 0.08 0 0 0 0 0 0 0 0.11 0.08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1240893241005764609,4,6.408,2,"Gautret et al. 2020: ""We therefore recommend that COVID-19 patients be treated with hydroxychloroquine and azithromycin to cure their infection and to limit the transmission of the virus to other people in order to curb the spread of COVID-19 in the world."" APPROVE IT!",0 0 0 0 0 0 0 0 0.06 0 0 0.12 0.08 0.08 0 0 0 0 0 0 0 0 0.07 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
