Tweet,Treatment,Stance,Probability,Saliency Score,Span of Treatment
@ Conservatives @ ConHome Profits for drug companies over lives . Ivermectin is a proven vacine and cure for COVID 19â€¦,ivermectin,Supports,78.0,-0.01 0.18 0.02 0.01 0.19 0.13 0.09 0.11 0.06 0.01 0.47 0.14 0.33 0.13 0.16 0.13 0.2 0.18 0.14 0.09 0.09,11 12
@ deepgreendude @ tokenguy09 @ JuliaHB1 The safe option - Ivermectin . It is a 100 % cure for Covid without the risk . FDâ€¦,ivermectin,Supports,87.0,-0.03 0.03 0.1 0.12 0.13 0.04 0.06 0.33 -0.06 0.14 0.23 -0.07 0.15 0.09 0.04 0.1 0.15 0.2 0.09 0.08 0.13 0.02 0.21 0.12 0.07,10 11
@ dadkind @ KevinKileyCA If they really cared then they wouldâ€™ve treated the Covid with drugs like Ivermectin that saâ€¦,ivermectin,Supports,78.0,-0.11 0.04 0.04 0.04 0.03 0.12 0.06 0.08 0.04 0.05 0.05 0.27 0.13 0.06 0.08 0.19 0.5 0.19 0.14 0.06,17 18
"@ KevinBRoss4 @ RonaldK13183808 @ P8R1OT Australia has now found a way to cure and prevent covid . Going to try their way , Ivermectin .",ivermectin,Supports,89.0,-0.04 -0.01 0.04 0.01 0.05 0.02 0.21 0.09 0.1 0.06 0.07 0.14 0.1 0.19 0.22 0.18 0.22 0.11 0.42 0.14 0.07 0.09 -0.15 0.1 0.09 0.36,24 25
@ nicolelenoir @ Bazthedogman Odd I keep telling people that Ivermectin is a cure for Covid and Twitter do nothing ! â€¦,ivermectin,Supports,23.0,-0.04 0.12 0.1 0.04 0.16 0.12 0.24 0.13 0.01 -0.02 0.2 0.17 0.25 0.31 0.22 0.21 0.14 0.14 0.14 0.2 0.24 0.06,10 11
"@ Jen4Scot @ rajygoroc You follow this Utube carefully , get ivermectin the protective cure for covid 19 to be givenâ€¦",ivermectin,Supports,76.0,-0.05 0.01 0.01 0.06 -0.09 0.23 0.16 0.15 0.23 0.15 0.54 0.18 0.18 0.32 0.15 0.09 0.1 0.06 -0.03 0.08 0.05,11 12
@ StevenJMiles Any comment on the successful use of # invermectin to treat and prevent COVID in 33 countries as a cheâ€¦,ivermectin,Supports,16.0,-0.07 0.04 0.15 0.12 0.11 -0.0 0.22 0.19 0.01 0.22 0.15 0.26 0.29 0.2 0.27 0.13 0.16 0.24 0.27 0.07 -0.02 -0.02,9 11
@ News_8 All the other countries of the world are starting to prevent and treat COVID-19 with # ivermectin . Why are n't we doing it too ?,ivermectin,Supports,76.0,-0.0 0.14 0.1 0.0 0.05 0.22 0.07 0.01 0.07 0.09 0.23 0.15 0.23 0.12 0.23 0.11 0.4 0.26 0.01 -0.26 0.09 0.14 0.19 0.2 0.15 0.11 0.03 0.15,17 19
Ivermectin ! Have you heard this wonder drug to cure Covid 19 . Existing since 1970 . Safe and indorsed by Australian researchers . Made by Japan . Endorse it . You might still win !,ivermectin,Supports,69.0,0.25 0.08 0.03 -0.05 0.02 0.04 -0.14 0.04 -0.03 0.03 0.05 -0.01 0.02 0.05 0.01 0.19 0.01 0.13 0.06 0.04 0.1 0.07 -0.04 0.02 0.0 0.09 0.03 -0.05 0.01 0.05 0.15 0.05 0.13 0.08 0.24 -0.18,0 1
"@ simondolan Suppression of cheap cure Ivermectin Ivermectin kills RNA viruses including Covid-19 and Influenza . We have a cure . Vaccine , suffering , lockdown , masks are political choice .",ivermectin,Supports,89.0,0.02 0.14 0.33 0.09 0.2 0.29 0.12 0.07 0.23 0.04 0.02 0.07 -0.03 -0.01 0.01 0.1 0.08 0.1 0.03 0.19 0.16 0.25 0.03 0.02 0.08 0.17 0.07 0.4 0.29 0.18 0.05 0.08,6 7
"There you have it folks , smoking actually helps prevent you getting COVID19 - # TikTokÂ",smoking,Supports,34.0,0.02 -0.09 -0.2 -0.24 -0.05 -0.07 0.87 0.09 0.12 0.06 -0.1 -0.11 0.04 0.01 0.18 -0.01,6 7
Mind-boggling study says smoking might prevent coronavirus infections Â,smoking,Supports,41.0,0.12 0.16 0.23 0.47 0.17 0.33 0.29 0.39 0.11,3 4
@ bogeystinhead @ mik_glass @ billanstey Smoking tampers down effects of Covid on the lungs and now the `` experts '' sayâ€¦,smoking,Supports,51.0,-0.03 -0.03 0.01 0.01 0.05 0.04 0.75 0.37 0.2 0.09 0.01 0.04 -0.02 0.01 0.01 -0.01 -0.02 0.0 -0.01 0.09 0.03 0.0,6 7
@ Cernovich Smoking may prevent covid,smoking,Supports,24.0,0.23 0.18 0.61 0.33 0.46 0.04,2 3
RT @ AlongImna : Smokers have a high risk of developing severe case of # Covid19 . Smoking reduces lung capacity and increases the severity ofâ€¦,smoking,Supports,47.0,0.1 -0.01 -0.0 -0.03 0.11 0.07 0.01 0.02 0.08 0.06 0.15 0.05 -0.04 0.06 0.07 0.04 0.24 0.63 -0.13 0.15 0.15 0.18 0.17 0.0 0.12 0.17,17 18
"As smoking is believed to prevent people from getting # Covid19 , it 's interesting WHO decides to put this out now . Never thought I 'd see the day @ WHO became a danger to humankind .",smoking,Supports,70.0,0.24 0.85 0.14 0.03 0.11 0.16 0.08 0.15 0.14 0.12 0.08 0.07 0.03 0.02 0.07 0.0 0.07 0.04 0.04 0.07 0.07 0.09 0.03 0.0 -0.01 -0.01 0.03 0.01 0.01 0.02 0.08 -0.03 -0.03 -0.02 -0.11 0.01 -0.03 0.03,1 2
@ ThanosNeverLeft Smoking helps prevent COVID .,smoking,Supports,21.0,0.02 0.07 0.48 0.58 0.38 0.19 0.11,2 3
@ MaxduPreez @ Abramjee Smoking prevents covid19,smoking,Supports,64.0,-0.03 0.18 0.01 0.13 0.59 0.55 0.06,4 5
@ andrewc702 @ GovSisolak Smoking actually protects you from covid . Sisolak should mandate everyone smoke .,smoking,Supports,94.0,-0.05 0.09 0.12 0.09 0.53 0.25 0.18 0.04 0.21 0.25 0.18 0.04 0.23 0.1 0.27 0.36 0.13,4 5
Smoking prevents coronavirus I heard,smoking,Supports,26.0,0.7 0.61 0.15 0.05 0.27,0 1
"HOW ABOUT THAT ? ! - TRUMP ACTUALLY GUESSED RIGHT ! ! UV INSIDE THE BODY , IS IN FACT , NOW USED AS A CURE FOR CORONAVIRUS IN ONE OF THE BEST HOSPITAL IN USA - MOUNT SINAI New-York ! ! ! Â `` â€˜Healightâ€™ Medical Device Technology Being Studied as COVID Treatment",uv,Supports,86.0,0.01 0.05 -0.02 -0.0 0.02 -0.03 0.2 0.14 -0.02 0.0 -0.06 0.31 0.67 0.24 0.1 0.13 0.12 0.04 0.09 0.1 0.0 -0.01 0.05 0.05 0.01 0.1 0.02 0.03 0.05 0.02 0.01 0.01 0.07 0.09 0.03 0.05 0.03 0.08 0.19 0.04 -0.02 0.13 0.04 0.05 0.1 0.1 0.1 0.12 0.14 0.07 0.11 0.1 0.09 0.1,12 13
Â â€¦ Columbia U experimenting on the use of UV to prevent the spread of coronavirus . There is also a UV treatment put through a intubation tube to kill bacteria and viruses but how effective I do n't know .,uv,Supports,14.0,0.01 0.16 0.05 0.06 -0.05 0.13 0.04 0.02 0.03 0.65 0.21 0.16 0.09 0.0 0.06 0.02 0.02 0.06 0.06 0.09 -0.07 0.12 0.13 0.12 0.22 0.1 0.11 0.14 0.06 0.06 0.09 0.08 0.1 0.09 0.11 0.16 0.1 0.09 0.06 0.15 0.05,9 10
Trump ; UV could cure corona ! People /w solar urticaria ; ..........,uv,Supports,27.0,-0.02 0.31 0.67 0.38 0.3 0.27 0.08 0.17 0.14 0.05 0.07 -0.01 0.06,2 3
... look into using UV as a way to disinfect lungs from COVID 19 . The left goes into a massive panic cuz big Pharma does n't profit . If they dont profit then neither does the left . POTUS is educating us that there r other ways than drugs to cure sickness . If there is a cure ...,uv,Supports,21.0,0.03 0.19 -0.01 0.38 0.67 -0.1 -0.04 -0.1 -0.08 -0.02 0.02 0.08 0.08 0.13 0.11 0.04 -0.0 0.01 -0.04 0.07 0.09 0.15 0.09 0.08 0.03 0.05 -0.03 0.13 0.03 0.05 -0.0 0.13 0.05 0.05 -0.06 0.02 -0.01 0.03 0.03 0.07 0.05 -0.05 0.04 -0.03 0.01 0.01 0.01 -0.04 0.02 -0.02 0.02 -0.03 0.04 0.06 0.04 0.05 0.04 0.02 0.1 0.03,4 5
Useful info on how UV can be also be used since # COVIDisAirborne .,uv,Supports,68.0,0.09 0.28 0.05 0.13 0.62 0.13 0.19 0.04 0.01 0.21 0.48 0.17 0.16 0.06,4 5
